name,email,code,role,year
Amani,nilce.cavalcanti@example.com,KAoiMpRl,student,2
Josephine,lino.simon@example.com,KZjqIzzI,student,2
Uwe,sam.edwards@example.com,iXrSNOKH,student,2
Gina,mathias.giraud@example.com,EKzOfnmb,student,2
Camille,flora.rey@example.com,NbUxwuiV,student,2
Jessica,tracey.collins@example.com,RsvUTPsc,student,2
Okan,ethan.dasilva@example.com,IyhuivMq,student,2
Rebecca,benedikt.petit@example.com,UdCGrAmb,student,2
Vincent,daniel.singh@example.com,rpoawrgK,student,2
Mahmoud,shawn.howell@example.com,AKyIWBub,student,2
Umut,anna.barnett@example.com,ruEojKbP,student,2
Juliette,soraya.dasilva@example.com,hQssPWZv,student,2
Charlotte,jadiara.cardoso@example.com,izjyEZNf,student,2
Alison,domingo.castro@example.com,gvzfiGDU,student,2
Riley,carla.navarro@example.com,QbCxsAMZ,student,2
Leah,darko.martin@example.com,rKeRWGiJ,student,2
Aleksi,marta.dubois@example.com,fTAvKolm,student,2
Lea,pat.gardner@example.com,zFSqlvvs,student,2
Giray,charlotte.lucas@example.com,ApHkOivZ,student,2
Naomi,lou.chevalier@example.com,aWEkXQNb,student,2
Mehmet,dioclecio.martins@example.com,DnbCHlTH,student,2
Willow,clarence.harper@example.com,vyBBMrcd,student,2
Nelson,phoenix.robinson@example.com,cNZwoETa,student,2
Caroline,walentina.stahl@example.com,thnrdKEJ,student,2
Alexej,ella.takala@example.com,jCwCdfFL,student,2
Norah,myr.aalyzdh@example.com,hBgoeNmR,student,2
Elis,fanny.soiland@example.com,TjvyysYh,student,2
Hugh,rodrigo.esteban@example.com,mGwgPKES,student,2
Lærke,layla.wilson@example.com,JfyQTpvs,student,2
Lukas,ann.hunter@example.com,cukcsNYh,student,2
Tom,khyn.ysmy@example.com,lIoaPTrC,student,2
Raquel,malik.gunnes@example.com,DwAzeDvU,student,2
Desiree,max.peterson@example.com,skbhOqgs,student,2
Konrad,jesus.george@example.com,vlItuYjI,student,2
Susanna,ewen.lemoine@example.com,NzItvgmh,student,2
Abby,joakim.bryhn@example.com,WZrbPPla,student,2
